model,scope,symptom,prevalence,threshold,precision,recall,f1,average_precision
xgb,locked_test,rapid_breathing,0.00802407221664995,0.1,0.0,0.0,0.0,0.01367226052061651
xgb,locked_test,rapid_heart_rate,0.03610832497492478,0.060000000000000005,0.046052631578947366,0.19444444444444445,0.07446808510638298,0.048088070032636945
xgb,locked_test,pain_behind_eyes,0.10030090270812438,0.08000000000000002,0.09598214285714286,0.43,0.15693430656934307,0.1401694744447352
xgb,locked_test,swollen_glands,0.04312938816449348,0.060000000000000005,0.041666666666666664,0.13953488372093023,0.06417112299465241,0.06759230962456012
xgb,locked_test,rashes,0.05917753259779338,0.060000000000000005,0.06378600823045268,0.5254237288135594,0.11376146788990826,0.08217148538839718
xgb,locked_test,sinus_headache,0.034102306920762285,0.060000000000000005,0.030927835051546393,0.08823529411764706,0.04580152671755725,0.03738597550307149
xgb,locked_test,facial_pain,0.034102306920762285,0.08000000000000002,0.0,0.0,0.0,0.03421597053493481
xgb,locked_test,shortness_of_breath,0.031093279839518557,0.05,0.050505050505050504,0.3225806451612903,0.08733624454148471,0.043167045359867304
xgb,locked_test,reduced_smell_and_taste,0.03009027081243731,0.060000000000000005,0.028169014084507043,0.13333333333333333,0.046511627906976744,0.033546430505395256
xgb,locked_test,skin_irritation,0.0320962888665998,0.08000000000000002,0.04081632653061224,0.0625,0.04938271604938271,0.06998127474036257
xgb,locked_test,itchiness,0.03510531594784353,0.05,0.02631578947368421,0.08571428571428572,0.040268456375838924,0.03710409927827179
xgb,locked_test,throbbing_headache,0.031093279839518557,0.05,0.026415094339622643,0.22580645161290322,0.0472972972972973,0.03111870270292756
xgb,locked_test,confusion,0.07021063189568706,0.060000000000000005,0.08527131782945736,0.6285714285714286,0.15017064846416384,0.11288956709844342
xgb,locked_test,back_pain,0.037111334002006016,0.060000000000000005,0.034482758620689655,0.13513513513513514,0.054945054945054944,0.04043823893361765
xgb,locked_test,knee_ache,0.03610832497492478,0.05,0.04391891891891892,0.3611111111111111,0.0783132530120482,0.047199280489359036
xgb_raw_weather,development_oof,nausea,0.15210843373493976,0.13,0.20196640721015977,0.8135313531353136,0.32359698063669184,0.21333196802769347
xgb_raw_weather,development_oof,joint_pain,0.0665160642570281,0.05,0.08689655172413793,0.7132075471698113,0.15491803278688523,0.08769876496102384
xgb_raw_weather,development_oof,abdominal_pain,0.039909638554216864,0.05,0.03784295175023652,0.25157232704402516,0.06578947368421052,0.03914255466429929
xgb_raw_weather,development_oof,high_fever,0.10366465863453815,0.13,0.15391014975041598,0.44794188861985473,0.22910216718266255,0.1486226576663784
xgb_raw_weather,development_oof,chills,0.0625,0.07,0.08823529411764706,0.4578313253012048,0.14795587280986372,0.08463314176897545
xgb_raw_weather,development_oof,fatigue,0.12474899598393574,0.14,0.19276315789473683,0.5895372233400402,0.29053049082796234,0.18568518396286982
xgb_raw_weather,development_oof,runny_nose,0.0981425702811245,0.1,0.15035377358490565,0.6521739130434783,0.24436990896023,0.1370845190978731
xgb_raw_weather,development_oof,dizziness,0.1307730923694779,0.11000000000000001,0.17302798982188294,0.783109404990403,0.28343174713442165,0.1761328954260498
xgb_raw_weather,development_oof,headache,0.24397590361445784,0.13,0.25664968873797395,0.9331275720164609,0.40257434531735464,0.33931849988266105
xgb_raw_weather,development_oof,chest_pain,0.16842369477911648,0.27,0.4073587385019711,0.46199701937406856,0.4329608938547486,0.3944055266135263
xgb_raw_weather,development_oof,vomiting,0.2090863453815261,0.12000000000000001,0.22267587939698494,0.851140456182473,0.35299975105800346,0.3065403473903281
xgb_raw_weather,development_oof,cough,0.060240963855421686,0.060000000000000005,0.08104738154613467,0.5416666666666666,0.14099783080260303,0.07861657832081213
xgb_raw_weather,development_oof,asthma,0.06701807228915663,0.17000000000000004,0.2671957671957672,0.3782771535580524,0.31317829457364343,0.2811277897247273
xgb_raw_weather,development_oof,severe_headache,0.09362449799196787,0.07,0.11755297880847661,0.7882037533512064,0.2045929018789144,0.114725369552086
xgb_raw_weather,development_oof,weakness,0.03589357429718876,0.05,0.0364963503649635,0.2097902097902098,0.06217616580310881,0.03732002804045775
xgb_raw_weather,development_oof,trouble_seeing,0.04066265060240964,0.05,0.05186721991701245,0.30864197530864196,0.08880994671403197,0.05377567444704577
xgb_raw_weather,development_oof,fever,0.03137550200803213,0.09000000000000001,0.05660377358490566,0.096,0.0712166172106825,0.03755262829563845
xgb_raw_weather,development_oof,body_aches,0.0338855421686747,0.060000000000000005,0.03770197486535009,0.15555555555555556,0.06069364161849711,0.037006774317845055
xgb_raw_weather,development_oof,sore_throat,0.06475903614457831,0.08000000000000002,0.09787928221859707,0.46511627906976744,0.16172506738544473,0.09254053583567567
xgb_raw_weather,development_oof,sneezing,0.036646586345381524,0.05,0.04482758620689655,0.2671232876712329,0.07677165354330709,0.043604796768594675
xgb_raw_weather,development_oof,diarrhea,0.039909638554216864,0.07,0.05486725663716814,0.1949685534591195,0.0856353591160221,0.04730435645350568
xgb_raw_weather,development_oof,rapid_breathing,0.0077811244979919675,0.08000000000000002,0.06666666666666667,0.06451612903225806,0.06557377049180328,0.026442712843600124
xgb_raw_weather,development_oof,rapid_heart_rate,0.0356425702811245,0.07,0.055710306406685235,0.14084507042253522,0.07984031936127745,0.044794118338095795
xgb_raw_weather,development_oof,pain_behind_eyes,0.10793172690763052,0.09000000000000001,0.15498392282958198,0.5604651162790698,0.24282115869017631,0.23672292182292864
xgb_raw_weather,development_oof,swollen_glands,0.03288152610441767,0.05,0.042584434654919234,0.22137404580152673,0.07142857142857142,0.035336685097778445
xgb_raw_weather,development_oof,rashes,0.06475903614457831,0.07,0.08620689655172414,0.4844961240310077,0.14637002341920374,0.07959633952114363
xgb_raw_weather,development_oof,sinus_headache,0.0303714859437751,0.07,0.043478260869565216,0.10743801652892562,0.06190476190476191,0.033964029259584146
xgb_raw_weather,development_oof,facial_pain,0.035140562248995984,0.05,0.036322360953461974,0.22857142857142856,0.06268364348677767,0.036192518768038605
xgb_raw_weather,development_oof,shortness_of_breath,0.03263052208835342,0.05,0.03773584905660377,0.2153846153846154,0.06422018348623854,0.03607107151570055
xgb_raw_weather,development_oof,reduced_smell_and_taste,0.03413654618473896,0.05,0.03938115330520394,0.20588235294117646,0.06611570247933884,0.04061478629459871
xgb_raw_weather,development_oof,skin_irritation,0.0321285140562249,0.08000000000000002,0.04081632653061224,0.078125,0.05361930294906166,0.031731339681486025
xgb_raw_weather,development_oof,itchiness,0.028363453815261043,0.07,0.06363636363636363,0.12389380530973451,0.08408408408408409,0.05026217000695223
xgb_raw_weather,development_oof,throbbing_headache,0.038654618473895584,0.07,0.06652360515021459,0.2012987012987013,0.1,0.058056891298785315
xgb_raw_weather,development_oof,confusion,0.06626506024096386,0.08000000000000002,0.10033726812816189,0.45075757575757575,0.16413793103448276,0.0977169724100075
xgb_raw_weather,development_oof,back_pain,0.035140562248995984,0.05,0.0416156670746634,0.24285714285714285,0.07105538140020899,0.0388869276490163
xgb_raw_weather,development_oof,knee_ache,0.03890562248995984,0.060000000000000005,0.05057803468208093,0.22580645161290322,0.08264462809917356,0.04507345516695287
xgb_raw_weather,locked_test,nausea,0.15646940822467403,0.13,0.19538461538461538,0.8141025641025641,0.315136476426799,0.20812090045148912
xgb_raw_weather,locked_test,joint_pain,0.0641925777331996,0.05,0.0829103214890017,0.765625,0.14961832061068703,0.0851491144053703
xgb_raw_weather,locked_test,abdominal_pain,0.041123370110330994,0.05,0.05555555555555555,0.36585365853658536,0.09646302250803858,0.059212170724828504
xgb_raw_weather,locked_test,high_fever,0.09829488465396188,0.13,0.13636363636363635,0.42857142857142855,0.20689655172413793,0.13380588100005214
xgb_raw_weather,locked_test,chills,0.06720160481444333,0.07,0.09063444108761329,0.44776119402985076,0.1507537688442211,0.09524613500655377
xgb_raw_weather,locked_test,fatigue,0.1123370110330993,0.14,0.15529411764705883,0.5892857142857143,0.24581005586592178,0.16640995938836006
xgb_raw_weather,locked_test,runny_nose,0.09628886659979939,0.1,0.16666666666666666,0.7395833333333334,0.2720306513409962,0.16031163322975853
xgb_raw_weather,locked_test,dizziness,0.12637913741223672,0.11000000000000001,0.15326251896813353,0.8015873015873016,0.2573248407643312,0.15955780751962217
